Date,Open,High,Low,Close,Adj Close,Volume
2022-04-22,2176.000000,2221.500000,2176.000000,2188.000000,2129.386719,38105811
2022-04-25,2124.500000,2146.790039,2070.500000,2074.500000,2018.927246,22495633
2022-04-26,2130.000000,2154.000000,2060.500000,2124.000000,2067.101318,27470781
2022-04-27,2119.500000,2148.000000,2103.000000,2130.500000,2073.427002,33645111
2022-04-28,2141.000000,2188.500000,2119.000000,2185.000000,2126.467285,21290934
2022-04-29,2195.500000,2198.000000,2150.000000,2173.000000,2114.788818,25987772
2022-05-03,2138.000000,2223.500000,2131.500000,2216.000000,2156.636963,22164751
2022-05-04,2223.500000,2251.500000,2212.500000,2225.000000,2165.395508,17713767
2022-05-05,2265.000000,2325.000000,2252.000000,2293.000000,2231.573975,39787127
2022-05-06,2294.500000,2334.500000,2287.500000,2299.500000,2237.899902,38425736
2022-05-09,2317.500000,2337.718018,2221.500000,2225.000000,2165.395508,27546889
2022-05-10,2205.000000,2259.946045,2191.000000,2233.500000,2173.667969,27778656
2022-05-11,2238.500000,2322.500000,2236.091064,2316.500000,2254.444336,35526868
2022-05-12,2268.500000,2290.000000,2230.000000,2240.500000,2180.480469,44155433
2022-05-13,2276.500000,2312.500000,2245.260010,2303.500000,2241.792725,29333239
2022-05-16,2298.000000,2340.500000,2291.700928,2337.500000,2274.881592,41640631
2022-05-17,2350.000000,2363.500000,2334.000000,2350.500000,2287.533691,46574952
2022-05-18,2347.000000,2408.512939,2339.500000,2370.500000,2306.997803,29832609
2022-05-19,2357.500000,2374.850098,2300.649902,2328.500000,2285.414795,18826706
2022-05-20,2353.500000,2379.500000,2329.000000,2336.500000,2293.266846,56252402
2022-05-23,2352.500000,2389.129883,2348.500000,2387.500000,2343.323242,46137281
2022-05-24,2353.500000,2376.500000,2345.000000,2366.000000,2322.220947,54757120
2022-05-25,2390.500000,2401.000000,2363.399902,2378.500000,2334.489502,25067855
2022-05-26,2391.000000,2413.500000,2388.000000,2404.000000,2359.517822,15569600
2022-05-27,2383.000000,2410.000000,2354.500000,2380.000000,2335.961914,20270792
2022-05-30,2383.500000,2397.300049,2348.500000,2374.000000,2330.072998,21868059
2022-05-31,2384.000000,2422.000000,2376.500000,2376.500000,2332.526611,30917763
2022-06-01,2361.500000,2390.000000,2357.000000,2361.000000,2317.313477,21562120
2022-06-06,2379.500000,2423.500000,2374.000000,2394.500000,2350.193604,20531283
2022-06-07,2399.000000,2426.500000,2391.259033,2416.000000,2371.295654,21689744
2022-06-08,2424.500000,2450.879883,2414.500000,2440.000000,2394.851563,27992220
2022-06-09,2439.500000,2459.235107,2395.500000,2395.500000,2351.175049,44141701
2022-06-10,2384.500000,2391.500000,2324.000000,2338.000000,2294.739014,25257302
2022-06-13,2278.500000,2325.000000,2259.500000,2287.500000,2245.173340,34145448
2022-06-14,2307.500000,2337.000000,2267.500000,2308.000000,2265.293945,24859895
2022-06-15,2291.500000,2304.000000,2251.000000,2271.000000,2228.978760,30775060
2022-06-16,2266.000000,2272.500000,2137.700928,2144.000000,2104.328613,38708916
2022-06-17,2135.000000,2141.794922,2026.500000,2044.000000,2006.178955,60234410
2022-06-20,2046.500000,2130.000000,2043.265015,2110.500000,2071.448486,33108109
2022-06-21,2120.000000,2164.500000,2114.000000,2151.000000,2111.199219,27007551
2022-06-22,2070.000000,2092.500000,2053.868896,2076.000000,2037.586914,39340963
2022-06-23,2065.500000,2109.979004,2028.000000,2029.000000,1991.456543,39906031
2022-06-24,2006.000000,2091.824951,2002.500000,2087.500000,2048.874023,23785753
2022-06-27,2074.000000,2132.000000,2069.500000,2112.500000,2073.411621,31627846
2022-06-28,2144.500000,2202.000000,2144.500000,2177.000000,2136.718018,33749625
2022-06-29,2174.000000,2238.121094,2174.000000,2185.000000,2144.570068,31166272
2022-06-30,2148.000000,2175.500000,2113.500000,2134.000000,2094.513672,20169850
2022-07-01,2123.500000,2179.639893,2094.500000,2121.000000,2081.754150,14490753
2022-07-04,2153.000000,2215.363037,2153.000000,2203.000000,2162.237061,17631705
2022-07-05,2212.500000,2216.500000,2008.000000,2016.000000,1978.697144,30909100
2022-07-06,2065.000000,2076.000000,1954.400024,1974.199951,1937.670532,34883756
2022-07-07,2007.000000,2052.000000,1981.800049,2033.500000,1995.873291,33726164
2022-07-08,2029.500000,2081.000000,2018.500000,2043.500000,2005.688354,10824448
2022-07-11,1997.400024,2046.000000,1992.400024,2030.500000,1992.928833,12008273
2022-07-12,2038.000000,2048.000000,1982.800049,1998.000000,1961.030273,15831310
2022-07-13,2000.000000,2020.500000,1958.400024,2002.000000,1964.956177,15023021
2022-07-14,2008.500000,2014.199951,1908.599976,1936.400024,1900.569946,16717755
2022-07-15,1950.000000,2012.000000,1939.199951,1989.599976,1952.785645,14079237
2022-07-18,2025.500000,2064.500000,2022.500000,2037.000000,1999.308594,12937440
2022-07-19,2030.500000,2050.500000,2017.500000,2034.000000,1996.364136,23609488
2022-07-20,2059.500000,2064.000000,2030.500000,2050.500000,2012.558838,13623556
2022-07-21,2060.000000,2061.500000,2004.750000,2028.500000,1990.965820,16743380
2022-07-22,2040.000000,2058.000000,2016.500000,2039.500000,2001.762329,10899647
